content,rating,date,guestName
"Beautiful lobby and very welcoming staff at check-in. Made us feel right at home.",5,2024-06-01,Maria
"The air conditioning in our room was broken and it took two days to fix. Unacceptable.",1,2024-06-03,James
"Pool area was clean and well-maintained. Kids loved the waterslide.",4,2024-06-05,Priya
"Found hair in the bathroom sink and stains on the sheets. Housekeeping needs improvement.",2,2024-06-07,Tom
"Room service was fast and the food was excellent. The burger is a must-try.",5,2024-06-08,Lisa
"WiFi kept dropping during my video calls. Not ideal for a business trip.",2,2024-06-10,Carlos
"The spa was phenomenal. Best massage I've had in years.",5,2024-06-12,Anna
"Parking garage was confusing and poorly lit. Almost hit a pillar backing out.",2,2024-06-13,Derek
"Breakfast buffet had great variety but the eggs were always cold.",3,2024-06-15,Sophie
"Front desk lost our reservation and took 40 minutes to sort it out.",1,2024-06-17,Raj
"Loved the rooftop bar. Amazing city views and creative cocktails.",5,2024-06-18,Emily
"Walls are paper thin. Could hear the neighbors arguing all night.",2,2024-06-20,Mike
"The concierge recommended an incredible local restaurant. Great personal touch.",4,2024-06-22,Yuki
"Elevator was out of service for three days. Had to climb 8 floors with luggage.",1,2024-06-24,Grace
"Bed was incredibly comfortable. Best sleep I've had on vacation.",5,2024-06-25,Ben
"Gym equipment was outdated and half the machines were broken.",2,2024-06-27,Fatima
"Check-out process was seamless and they stored our bags for free.",4,2024-06-28,Oliver
"Shower had barely any water pressure. Took forever to rinse off.",2,2024-07-01,Nina
"The hotel location is perfect — walking distance to everything downtown.",5,2024-07-03,Lucas
"Minibar prices were outrageous. $12 for a small bottle of water.",1,2024-07-05,Hannah
